Ref,Val,Package,PosX,PosY,Rot,Side
C1,100n,0603_1608Metric,112.042764,-85.193551,90,top
D1,D_Small,SOD-123,109.242764,-82.593551,180,top
J5,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,111.042764,-70.793551,180,top
R3,200k,0603_1608Metric,111.642764,-87.393551,180,top
R4,900k,0603_1608Metric,108.442764,-87.393551,0,top
R5,0,1206_3216Metric,112.842764,-77.793551,0,top
R6,0,1206_3216Metric,113.442764,-80.193551,0,top
R7,0,1206_3216Metric,108.642764,-80.193551,180,top
U2,TUSB320IRWBR,X2QFN,109.242764,-85.193551,-90,top
